cutoff_date;group;month_axis;qnt_ingredients;colour
2021-01-01;beverages;Jan-21;199;#03a086
2021-01-01;processed;Jan-21;1062;#f7d40c
2021-01-01;raw;Jan-21;903;#0488c2
2021-02-01;beverages;Feb-21;187;#03a086
2021-02-01;processed;Feb-21;1462;#f7d40c
2021-02-01;raw;Feb-21;1017;#0488c2
2021-03-01;beverages;Mar-21;195;#03a086
2021-03-01;processed;Mar-21;2942;#f7d40c
2021-03-01;raw;Mar-21;2819;#0488c2
2021-04-01;beverages;Apr-21;237;#03a086
2021-04-01;processed;Apr-21;1603;#f7d40c
2021-04-01;raw;Apr-21;1788;#0488c2
2021-05-01;beverages;May-21;2849;#03a086
2021-05-01;processed;May-21;8518;#f7d40c
2021-05-01;raw;May-21;5338;#0488c2
2021-06-01;beverages;Jun-21;202;#03a086
2021-06-01;processed;Jun-21;317;#f7d40c
2021-06-01;raw;Jun-21;364;#0488c2
2021-07-01;beverages;Jul-21;905;#03a086
2021-07-01;processed;Jul-21;2692;#f7d40c
2021-07-01;raw;Jul-21;2017;#0488c2
2021-08-01;beverages;Aug-21;1706;#03a086
2021-08-01;processed;Aug-21;8980;#f7d40c
2021-08-01;raw;Aug-21;7927;#0488c2
2021-09-01;beverages;Sep-21;7687;#03a086
2021-09-01;processed;Sep-21;21828;#f7d40c
2021-09-01;raw;Sep-21;13164;#0488c2
2021-10-01;beverages;Oct-21;12761;#03a086
2021-10-01;processed;Oct-21;27082;#f7d40c
2021-10-01;raw;Oct-21;17996;#0488c2
2021-11-01;beverages;Nov-21;43;#03a086
2021-11-01;processed;Nov-21;591;#f7d40c
2021-11-01;raw;Nov-21;761;#0488c2
2021-12-01;beverages;Dec-21;49;#03a086
2021-12-01;processed;Dec-21;1430;#f7d40c
2021-12-01;raw;Dec-21;1062;#0488c2
2022-01-01;beverages;Jan-22;253;#03a086
2022-01-01;processed;Jan-22;1437;#f7d40c
2022-01-01;raw;Jan-22;1837;#0488c2
2022-02-01;beverages;Feb-22;3110;#03a086
2022-02-01;processed;Feb-22;9361;#f7d40c
2022-02-01;raw;Feb-22;4909;#0488c2
2022-03-01;beverages;Mar-22;569;#03a086
2022-03-01;processed;Mar-22;3457;#f7d40c
2022-03-01;raw;Mar-22;3992;#0488c2
2022-04-01;beverages;Apr-22;488;#03a086
2022-04-01;processed;Apr-22;2829;#f7d40c
2022-04-01;raw;Apr-22;2719;#0488c2
2022-05-01;beverages;May-22;93;#03a086
2022-05-01;processed;May-22;1219;#f7d40c
2022-05-01;raw;May-22;1361;#0488c2
